0	283	0
0	5242	1
0	7147	2
0	1152	3
0	6557	4
0	5926	5
0	9597	6
0	4301	7
0	1484	8
0	683	9
1	3324	0
1	6273	1
1	369	2
1	1894	3
1	329	4
1	7950	5
1	6385	6
1	4010	7
1	2765	8
1	1405	9
2	1629	0
2	7381	1
2	809	2
2	7418	3
2	459	4
2	2646	5
2	2378	6
2	8844	7
2	3063	8
2	527	9
3	6304	0
3	3751	1
3	153	2
3	3087	3
3	7859	4
3	5002	5
3	1674	6
3	1389	7
3	811	8
3	2507	9
4	4128	0
4	6928	1
4	9799	2
4	3521	3
4	1673	4
4	89	5
4	4847	6
4	3250	7
4	3493	8
4	383	9
5	4984	0
5	6128	1
5	1443	2
5	1444	3
5	2878	4
5	5327	5
5	4849	6
5	2986	7
5	6395	8
5	8043	9
6	4729	0
6	1867	1
6	465	2
6	2810	3
6	7059	4
6	6982	5
6	1112	6
6	8076	7
6	7170	8
6	7474	9
7	6675	0
7	7580	1
7	3834	2
7	99	3
7	2001	4
7	5818	5
7	347	6
7	551	7
7	4703	8
7	5894	9
8	8264	0
8	6143	1
8	7023	2
8	4465	3
8	179	4
8	329	5
8	3183	6
8	3762	7
8	6322	8
8	8549	9
9	8549	0
9	6102	1
9	1419	2
9	8210	3
9	9801	4
9	5963	5
9	3183	6
9	6466	7
9	9521	8
9	3271	9
10	9744	0
10	7751	1
10	5764	2
10	1742	3
10	2690	4
10	5491	5
10	9437	6
10	1969	7
10	6292	8
10	9605	9
11	7833	0
11	7521	1
11	4962	2
11	1582	3
11	4628	4
11	4284	5
11	1794	6
11	4482	7
11	3645	8
11	3919	9
12	1584	0
12	5391	1
12	2017	2
12	6166	3
12	1920	4
12	4711	5
12	6555	6
12	3082	7
12	9800	8
12	229	9
13	4371	0
13	9583	1
13	7359	2
13	4744	3
13	6064	4
13	9494	5
13	3078	6
13	6637	7
13	6060	8
13	8302	9
14	8298	0
14	6647	1
14	1797	2
14	8306	3
14	6191	4
14	7636	5
14	8958	6
14	5569	7
14	4225	8
14	5916	9
15	3852	0
15	9157	1
15	7289	2
15	6861	3
15	6141	4
15	7571	5
15	9425	6
15	8797	7
15	2154	8
15	7897	9
16	339	0
16	4082	1
16	8033	2
16	3200	3
16	9196	4
16	2072	5
16	2703	6
16	1501	7
16	2315	8
16	3538	9
17	3597	0
17	9716	1
17	9628	2
17	561	3
17	6851	4
17	6122	5
17	9396	6
17	3503	7
17	7149	8
17	4996	9
18	3055	0
18	3670	1
18	2159	2
18	9430	3
18	3321	4
18	8758	5
18	2348	6
18	2821	7
18	5622	8
18	1767	9
19	588	0
19	7951	1
19	5118	2
19	7392	3
19	5396	4
19	8634	5
19	9698	6
19	5609	7
19	389	8
19	2185	9
20	9913	0
20	3626	1
20	9293	2
20	2340	3
20	1054	4
20	7541	5
20	3755	6
20	4066	7
20	4005	8
20	7922	9
21	7532	0
21	6860	1
21	1842	2
21	3679	3
21	1588	4
21	4067	5
21	6410	6
21	6232	7
21	9774	8
21	6497	9
22	9749	0
22	8046	1
22	4980	2
22	6794	3
22	2775	4
22	3569	5
22	1747	6
22	1695	7
22	6447	8
22	931	9
23	1755	0
23	7365	1
23	8749	2
23	7990	3
23	9486	4
23	1290	5
23	1028	6
23	893	7
23	872	8
23	3544	9
24	2660	0
24	3774	1
24	4226	2
24	2199	3
24	636	4
24	7357	5
24	1743	6
24	2005	7
24	4802	8
24	9982	9
25	7569	0
25	8592	1
25	5361	2
25	2004	3
25	3541	4
25	4665	5
25	4111	6
25	5196	7
25	6067	8
25	9189	9
26	6417	0
26	2368	1
26	6088	2
26	3473	3
26	4330	4
26	8552	5
26	2270	6
26	6853	7
26	3141	8
26	1251	9
27	7960	0
27	5794	1
27	5555	2
27	393	3
27	5987	4
27	2084	5
27	2184	6
27	7045	7
27	5907	8
27	5019	9
28	2822	0
28	2623	1
28	8043	2
28	9622	3
28	3836	4
28	179	5
28	570	6
28	6366	7
28	8753	8
28	3908	9
29	7418	0
29	8844	1
29	5486	2
29	459	3
29	2646	4
29	2378	5
29	1677	6
29	9556	7
29	1291	8
29	8461	9
30	3908	0
30	2532	1
30	3987	2
30	9680	3
30	1110	4
30	645	5
30	9999	6
30	3657	7
30	5136	8
30	3826	9
31	5909	0
31	3103	1
31	5782	2
31	8312	3
31	1915	4
31	1941	5
31	203	6
31	9947	7
31	6665	8
31	7048	9
32	10	0
32	9468	1
32	5773	2
32	1638	3
32	2035	4
32	4360	5
32	2534	6
32	5803	7
32	1072	8
32	9964	9
33	5427	0
33	7624	1
33	8680	2
33	9059	3
33	7235	4
33	5630	5
33	3306	6
33	7353	7
33	961	8
33	1218	9
34	8013	0
34	4727	1
34	5566	2
34	3846	3
34	2420	4
34	5802	5
34	157	6
34	960	7
34	6094	8
34	7515	9
35	5772	0
35	9646	1
35	568	2
35	279	3
35	8986	4
35	1517	5
35	2435	6
35	2077	7
35	5469	8
35	8956	9
36	6521	0
36	4991	1
36	2910	2
36	1165	3
36	6196	4
36	5856	5
36	3087	6
36	5002	7
36	7399	8
36	4385	9
37	7217	0
37	8881	1
37	4522	2
37	4078	3
37	788	4
37	652	5
37	1162	6
37	5953	7
37	4552	8
37	7408	9
38	1435	0
38	3361	1
38	3	2
38	5543	3
38	6021	4
38	1964	5
38	6371	6
38	2075	7
38	1045	8
38	2939	9
39	4317	0
39	6466	1
39	5234	2
39	7505	3
39	5499	4
39	7825	5
39	8707	6
39	5023	7
39	1864	8
39	5193	9
40	9090	0
40	3410	1
40	6057	2
40	6092	3
40	2278	4
40	5674	5
40	5498	6
40	7543	7
40	2728	8
40	3364	9
41	7559	0
41	9150	1
41	9213	2
41	9219	3
41	6655	4
41	8769	5
41	9622	6
41	2625	7
41	7470	8
41	3355	9
42	8264	0
